label,modularity_class
CONFIG_CSHARP_BINDINGS,4
CONFIG_EXTRA_CFLAGS_OPTIONS,0
CONFIG_VISUAL_STUDIO_7_0_BASE,9
CONFIG_SSL_GENERATE_X509_CERT,1
CONFIG_C_SAMPLES,4
CONFIG_SSL_ENABLE_V23_HANDSHAKE,2
CONFIG_BIGINT_MONTGOMERY,7
CONFIG_HTTP_HTTPS_PORT,11
CONFIG_STRIP_UNWANTED_SECTIONS,12
CONFIG_SSL_PROT_HIGH,12
CONFIG_SSL_PRIVATE_KEY_PASSWORD,12
CONFIG_WIN32_USE_CRYPTO_LIB,9
CONFIG_HTTP_ENABLE_LUA,9
MUL_KARATSUBA_THRESH,12
CONFIG_SSL_USE_PKCS12,12
CONFIG_BIGINT_SQUARE,12
CONFIG_SSL_SERVER_ONLY,12
CONFIG_VISUAL_STUDIO_10_0,9
CONFIG_SSL_PROT_LOW,12
CONFIG_PERL_BINDINGS,4
CONFIG_SSL_MAX_CERTS,3
CONFIG_BINDINGS,4
HAVE_DOT_CONFIG,5
CONFIG_CSHARP_SAMPLES,4
CONFIG_HTTP_CGI_EXTENSIONS,9
CONFIG_VBNET_SAMPLES,4
CONFIG_HTTP_HAS_AUTHORIZATION,11
CONFIG_SSL_X509_COMMON_NAME,1
CONFIG_OPENSSL_COMPATIBLE,6
CONFIG_SSL_X509_CERT_LOCATION,1
CONFIG_SSL_FULL_MODE,12
CONFIG_VISUAL_STUDIO_10_0_BASE,9
CONFIG_HTTP_DIRECTORIES,11
CONFIG_SSL_CERT_VERIFICATION,12
CONFIG_USE_DEV_URANDOM,9
CONFIG_BIGINT_SLIDING_WINDOW,12
CONFIG_SSL_X509_ORGANIZATION_UNIT_NAME,1
CONFIG_HTTP_STATIC_BUILD,11
CONFIG_PERFORMANCE_TESTING,12
CONFIG_HTTP_USER,11
CONFIG_JAVA_BINDINGS,9
CONFIG_INTEGER_16BIT,10
CONFIG_AXTLSWRAP,9
CONFIG_SSL_PRIVATE_KEY_LOCATION,12
CONFIG_BIGINT_CLASSICAL,7
CONFIG_HTTP_WEBROOT,9
CONFIG_HTTP_BUILD_LUA,9
CONFIG_BIGINT_BARRETT,7
CONFIG_X509_MAX_CA_CERTS,12
CONFIG_BIGINT_CHECK_ON,12
CONFIG_HTTP_PORT,11
CONFIG_HTTP_TIMEOUT,11
CONFIG_SSL_CTX_MUTEXING,8
CONFIG_VISUAL_STUDIO_7_0,9
CONFIG_HTTP_CGI_LAUNCHER,9
CONFIG_VISUAL_STUDIO_8_0,9
CONFIG_SSL_ENABLE_CLIENT,12
CONFIG_PLATFORM_LINUX,9
SQU_KARATSUBA_THRESH,12
CONFIG_JAVA_HOME,9
CONFIG_INTEGER_32BIT,10
CONFIG_HTTP_ENABLE_DIFFERENT_USER,11
CONFIG_VBNET_BINDINGS,4
CONFIG_PERL_LIB,4
CONFIG_SSL_SKELETON_MODE,12
CONFIG_DEBUG,12
CONFIG_SSL_EXPIRY_TIME,12
CONFIG_DOT_NET_FRAMEWORK_BASE,4
CONFIG_LUA_CORE,4
CONFIG_PERL_SAMPLES,4
CONFIG_HTTP_LUA_PREFIX,9
PREFIX,9
CONFIG_SSL_PROT_MEDIUM,12
CONFIG_LUA_BINDINGS,4
CONFIG_LUA_SAMPLES,4
CONFIG_HTTP_IS_DAEMON,9
CONFIG_VISUAL_STUDIO_8_0_BASE,9
CONFIG_SSL_HAS_PEM,12
CONFIG_SSL_TEST,1
CONFIG_SAMPLES,4
CONFIG_PLATFORM_WIN32,9
CONFIG_HTTP_HAS_CGI,9
CONFIG_PLATFORM_CYGWIN,9
CONFIG_HTTP_VERBOSE,11
CONFIG_INTEGER_8BIT,10
CONFIG_SSL_USE_DEFAULT_KEY,12
CONFIG_EXTRA_LDFLAGS_OPTIONS,13
CONFIG_BIGINT_KARATSUBA,12
CONFIG_BIGINT_CRT,12
CONFIG_JAVA_SAMPLES,4
CONFIG_AXHTTPD,11
CONFIG_SSL_X509_ORGANIZATION_NAME,1
CONFIG_HTTP_SESSION_CACHE_SIZE,11
CONFIG_HTTP_HAS_IPV6,9
CONFIG_PERL_CORE,4
