label,modularity_class
SWAPONOFF,70
TUNE2FS,0
FEATURE_SHARED_BUSYBOX,217
FEATURE_INETD_SUPPORT_BUILTIN_CHARGEN,12
FEATURE_WC_LARGE,110
CRYPTPW,12
UNLZMA,5
FEATURE_SH_NOFORK,217
UMOUNT,1
PIVOT_ROOT,70
HUSH_MODE_X,217
FEATURE_FIND_DEPTH,161
MODPROBE,70
DEVFSD_VERBOSE,12
FEATURE_START_STOP_DAEMON_LONG_OPTIONS,186
LAST,66
TAR,73
FEATURE_HUMAN_READABLE,38
KLOGD,70
FEATURE_EDITING,13
BLOCKDEV,2
IPROUTE,138
FEATURE_ADDGROUP_LONG_OPTIONS,186
FEATURE_VERBOSE,3
FEATURE_BUFFERS_GO_IN_BSS,58
FEATURE_TELNET_AUTOLOGIN,38
TFTP,74
FEATURE_IFUPDOWN_IFCONFIG_BUILTIN,26
LSOF,4
TELINIT_PATH,117
FEATURE_LZMA_FAST,5
CTTYHACK,6
ASH_BUILTIN_PRINTF,217
RFKILL,70
FEATURE_GETOPT_LONG,186
UEVENT,70
FEATURE_HDPARM_HDIO_SCAN_HWIF,218
FEATURE_EJECT_SCSI,70
PGREP,7
FEATURE_TASKSET_FANCY,8
FEATURE_LS_SORTFILES,38
PWDX,9
HUSH_JOB,13
REFORMIME,20
FEATURE_UDHCP_RFC3397,60
FEATURE_HWCLOCK_ADJTIME_FHS,186
USE_BB_CRYPT,189
UUENCODE,10
FEATURE_TAR_GNU_EXTENSIONS,73
FEATURE_CROND_CALL_SENDMAIL,12
FEATURE_PREFER_APPLETS,217
STTY,11
FEATURE_USE_SENDFILE,70
DPKG_DEB,73
IPADDR,138
FEATURE_SYSLOGD_CFG,219
DMALLOC,17
FEATURE_SYSLOG,12
FEATURE_DU_DEFAULT_BLOCKSIZE_1K,38
FEATURE_LESS_WINCH,46
FEATURE_TELNET_TTYPE,38
FEATURE_AWK_GNU_EXTENSIONS,168
FEATURE_FIND_SIZE,161
UBIMKVOL,70
SHA512SUM,28
FEATURE_TUNCTL_UG,70
HUSH_CASE,217
FEATURE_INSMOD_LOAD_MAP_FULL,70
HUSH_INTERACTIVE,13
FEATURE_FANCY_HEAD,39
FEATURE_EXPAND_LONG_OPTIONS,186
UNICODE_COMBINING_WCHARS,229
IPCRM,14
FEATURE_SH_IS_ASH,217
UBIRSVOL,70
FEATURE_FIND_EXEC,161
FEATURE_TOP_SMP_CPU,68
CMP,15
TTY,16
FEATURE_LESS_REGEXP,46
BUILD_LIBBUSYBOX,217
FEATURE_IPC_SYSLOG_BUFFER_SIZE,219
DUMPLEASES,60
FEATURE_MOUNT_FSTAB,1
UNAME_OSNAME,89
FEATURE_SH_HISTFILESIZE,217
FEATURE_CHCON_LONG_OPTIONS,73
FEATURE_PREFER_IPV4_ADDRESS,26
HUSH_BASH_COMPAT,217
EFENCE,17
SETSERIAL,70
FEATURE_IPCALC_LONG_OPTIONS,186
PIDOF,100
FEATURE_IFCONFIG_HW,26
FEATURE_IP_ADDRESS,138
UBIRMVOL,70
FEATURE_HDPARM_HDIO_GETSET_DMA,218
EXTRA_CFLAGS,18
DEBUG,107
FEATURE_ETC_NETWORKS,19
FEATURE_HDPARM_HDIO_UNREGISTER_HWIF,218
FEATURE_REFORMIME_COMPAT,20
NC_EXTRA,210
FEATURE_IFUPDOWN_IP,26
FEATURE_WGET_LONG_OPTIONS,186
MKFS_EXT2,70
RDEV,21
FEATURE_SEAMLESS_XZ,73
MT,22
MV,186
FEATURE_VOLUMEID_LUKS,37
ADDGROUP,186
FEATURE_IFUPDOWN_MAPPING,26
FEATURE_MOUNT_FAKE,1
DNSD,23
FUSER,24
FEATURE_WGET_AUTHENTICATION,186
MAKEDEVS,140
REV,25
FEATURE_IPV6,26
MODINFO,70
DEVFSD,12
IFPLUGD,70
WATCHDOG,70
LOAD_POLICY,73
MKFS_VFAT,70
FEATURE_FANCY_TAIL,65
FEATURE_AR_CREATE,27
FEATURE_XARGS_SUPPORT_CONFIRMATION,150
FEATURE_REMOTE_LOG,219
WHO,66
FEATURE_MD5_SHA1_SUM_CHECK,28
FEATURE_DPKG_DEB_EXTRACT_ONLY,73
FEATURE_FIND_LINKS,161
BRCTL,70
FEATURE_VOLUMEID_EXFAT,37
FEATURE_EDITING_ASK_TERMINAL,13
ASH_IDLE_TIMEOUT,217
LFS,118
FEATURE_INIT_SCTTY,117
FEATURE_FDISK_ADVANCED,118
FEATURE_DD_STATUS,98
INOTIFYD,29
FEATURE_EDITING_MAX_LEN,13
FATATTR,70
UBIDETACH,70
FEATURE_LS_RECURSIVE,38
FEATURE_UDHCPC_SANITIZEOPT,60
FEATURE_VI_YANKMARK,168
TAC,30
UNEXPAND,186
FBSET,70
BUSYBOX_EXEC_PATH,31
FEATURE_AIX_LABEL,118
FEATURE_MDEV_EXEC,120
RESIZE,77
FEATURE_TAR_FROM,73
SHA3_SMALL,32
FEATURE_MESG_ENABLE_ONLY_GROUP,171
FEATURE_CHECK_NAMES,186
SU,12
MICROCOM,33
FEATURE_LESS_ASK_TERMINAL,46
FEATURE_ENV_LONG_OPTIONS,186
GETOPT,186
FEATURE_MDEV_RENAME,120
INSTALL,186
DMESG,70
RUNSVDIR,158
TOP,68
TRACEROUTE6,26
FEATURE_TRACEROUTE_SOURCE_ROUTE,26
FEATURE_IFCONFIG_MEMSTART_IOADDR_IRQ,26
CAT,34
IFUPDOWN_UDHCPC_CMD_OPTIONS,60
NANDWRITE,70
MATCHPATHCON,73
CAL,35
DATE,70
HUSH_SAVEHISTORY,13
FEATURE_HTTPD_GZIP,63
IPLINK,138
I2CGET,70
MAKEMIME,20
FEATURE_LESS_TRUNCATE,46
LN,36
FEATURE_SU_CHECKS_SHELLS,12
FEATURE_NAMEIF_EXTENDED,12
VOLUMEID,37
IPCALC,186
SETENFORCE,73
HUSH_EXPORT_N,217
FEATURE_VERBOSE_USAGE,202
LS,38
SETFONT,164
LOGGER,12
INSTALL_APPLET_SCRIPT_WRAPPERS,147
FEATURE_SYSLOGD_READ_BUFFER_SIZE,219
FEATURE_RUN_PARTS_LONG_OPTIONS,186
LZOP_COMPR_HIGH,50
FEATURE_SWAPON_PRI,70
HEAD,39
UNICODE_PRESERVE_BROKEN,229
FEATURE_BASH_IS_NONE,217
LSUSB,40
WATCH,41
FEATURE_LESS_BRACKETS,46
FEATURE_MODPROBE_SMALL_CHECK_ALREADY_LOADED,70
FEATURE_FIND_PATH,161
FEATURE_VI_MAX_LEN,168
FEATURE_AWK_LIBM,168
FEATURE_DATE_ISOFMT,70
FEATURE_INETD_SUPPORT_BUILTIN_DAYTIME,12
FEATURE_INDIVIDUAL,217
FEATURE_WGET_TIMEOUT,186
FEATURE_VI_COLON,168
FEATURE_LS_FOLLOWLINKS,38
TTYSIZE,42
FEATURE_FIND_REGEX,161
NTPD,70
RENICE,43
GZIP,186
TELNETD,12
TCPSVD,44
RESET,45
FEATURE_TOUCH_SUSV3,214
FEATURE_FIND_PAREN,161
FEATURE_IPCALC_FANCY,186
LESS,46
FEATURE_IFCONFIG_BROADCAST_PLUS,26
DESKTOP,68
FEATURE_DF_FANCY,38
KILL,92
UDHCPC_SLACK_FOR_BUGGY_SERVERS,60
FEATURE_VOLUMEID_JFS,37
FDISK_SUPPORT_LARGE_DISKS,118
LSPCI,47
IONICE,70
SYSROOT,48
FEATURE_LS_USERNAME,38
LSATTR,70
FEATURE_TFTP_PROGRESS_BAR,74
FEATURE_COMPRESS_USAGE,202
FEATURE_MDEV_LOAD_FIRMWARE,120
ASH_JOB_CONTROL,217
RX,70
TFTP_DEBUG,74
FEATURE_VI_UNDO,168
RM,49
FEATURE_GZIP_LEVELS,186
ROUTE,26
FEATURE_IFUPDOWN_EXTERNAL_DHCP,26
FEATURE_CHAT_CLR_ABORT,84
FEATURE_2_4_MODULES,70
LZOP,50
LPR,51
LPQ,52
FEATURE_NETSTAT_PRG,70
FEATURE_VOLUMEID_CRAMFS,37
DEPMOD,70
LPD,53
STRINGS,54
FEATURE_SUID_CONFIG_QUIET,204
BB_SYSCTL,55
FLASH_LOCK,56
HOSTID,57
