label,modularity_class
CONSOLE_NE2K_DST_MAC,73
DRIVER_TI_TPS65090,0
I2C_TPM,264
MAINBOARD_HAS_NATIVE_VGA_INIT_TEXTMODECFG,79
NORTHBRIDGE_INTEL_I855,1
IPXE_MASTER,249
SOUTHBRIDGE_INTEL_LYNXPOINT,2
DEFAULT_CONSOLE_LOGLEVEL,3
SUPERIO_SMSC_SIO10N268,4
SPI_FLASH_ADESTO,232
GENERATE_MP_TABLE,5
SOC_MEDIATEK_MT8173,6
HAVE_HARD_RESET,232
CPU_INTEL_MODEL_206AX,7
DEBUG_SMM_RELOCATION,232
DRIVERS_ASPEED_AST_COMMON,8
SOC_NVIDIA_TEGRA210,9
USBDEBUG_DONGLE_BEAGLEBONE_BLACK,188
DRIVER_PARADE_PS8625,10
COOP_MULTITASKING,147
HAVE_DEBUG_RAM_SETUP,141
COMPRESS_RAMSTAGE,148
SPD_CACHE,11
CPU_AMD_SOCKET_939,12
SUPERIO_NUVOTON_NCT5572D,113
TSC_CONSTANT_RATE,147
ROM_SIZE,187
DRIVERS_I2C_WW_RING,13
DEBUG_BOOT_STATE,14
VENDOR_EMULATION,15
SPI_FLASH_FAST_READ_DUAL_OUTPUT_3B,232
INTEL_DP,16
GIC,17
USE_WATCHDOG_ON_BOOT,232
GDB_STUB,172
COMPRESSED_PAYLOAD_LZMA,206
CONSOLE_SERIAL,172
NORTHBRIDGE_INTEL_SCH,18
ROMSTAGE_ADDR,19
SKIP_TPM_STARTUP_ON_NORMAL_BOOT,264
SQUELCH_EARLY_SMP,249
SUPERIO_SMSC_LPC47B397,20
GENERIC_GPIO_LIB,21
CONSOLE_NE2K_SRC_IP,73
SUPERIO_NSC_PC87309,22
PAYLOAD_IS_FLAT_BINARY,23
SOUTHBRIDGE_INTEL_I82870,24
MAINBOARD_VERSION,249
TTYS0_BASE,172
POST_DEVICE_PCI_PCIE,73
HAVE_OPTION_TABLE,188
CPU_INTEL_SOCKET_MFCPGA478,25
RELOCATABLE_RAMSTAGE,188
X86EMU_DEBUG_INTERRUPTS,149
SOUTHBRIDGE_RICOH_RL5C476,26
SUPERIO_FINTEK_F81216H,27
PCI,73
CPU_VIA_C3,28
MIRROR_PAYLOAD_TO_RAM_BEFORE_LOADING,29
PXE_ROM,182
PAYLOAD_LINUX,206
FRAMEBUFFER_VESA_MODE,149
CONSOLE_SERIAL_115200,172
DRIVERS_UART_OXPCIE,73
CPU_AMD_AGESA_FAMILY15_RL,30
DEBUG_CBFS,31
IPMI_KCS,32
PAYLOAD_ELF,206
SUPERIO_NSC_PC87392,33
CPU_MICROCODE_CBFS_NONE,34
CPU_AMD_MODEL_FXX,35
DEFAULT_CONSOLE_LOGLEVEL_7,3
DEFAULT_CONSOLE_LOGLEVEL_6,3
DEFAULT_CONSOLE_LOGLEVEL_5,3
DEFAULT_CONSOLE_LOGLEVEL_4,3
DEFAULT_CONSOLE_LOGLEVEL_3,3
CPU_INTEL_MODEL_6XX,36
SOC_ROCKCHIP_RK3399,37
ARCH_RAMSTAGE_ARMV8_64,231
BOOTBLOCK_MAINBOARD_INIT,38
BOOTBLOCK_NORTHBRIDGE_INIT,39
DEFAULT_CONSOLE_LOGLEVEL_8,3
CONSOLE_SERIAL_9600,172
CPU_SAMSUNG_EXYNOS5250,40
NUM_THREADS,147
DRIVERS_UART,172
SOUTHBRIDGE_AMD_PI_AVALON,41
SPI_FLASH_WINBOND,232
CPU_INTEL_SOCKET_RPGA989,42
ELOG_AREA_SIZE,188
SOUTHBRIDGE_AMD_SB600,43
ELOG_FLASH_BASE,188
ARCH_VERSTAGE_ARMV7_M,117
X86EMU_DEBUG_TRACE,149
CPU_INTEL_FIRMWARE_INTERFACE_TABLE,237
SOUTHBRIDGE_INTEL_I82801EX,44
SOC_ROCKCHIP_RK3288,45
SOC_NVIDIA_TEGRA132,46
C_ENVIRONMENT_BOOTBLOCK,264
SOUTHBRIDGE_INTEL_SCH,47
NORTHBRIDGE_INTEL_FSP_IVYBRIDGE,48
DRIVERS_XGI_Z79_COMMON,49
USBDEBUG_DONGLE_STD,188
CMOS_POST_EXTRA,249
SMM_TSEG,188
IASL_WARNINGS_ARE_ERRORS,50
PCIX_PLUGIN_SUPPORT,73
SMP,249
UDELAY_LAPIC,147
CPU_INTEL_MODEL_68X,51
SERIALIZED_SMM_INITIALIZATION,52
DRIVER_XPOWERS_AXP209,53
EARLY_PCI_BRIDGE_FUNCTION,73
HAVE_DEBUG_CAR,54
TPM_TIS_BASE_ADDRESS,264
PLATFORM_USES_FSP1_1,55
POWER_BUTTON_FORCE_DISABLE,118
NORTHBRIDGE_INTEL_I440BX,56
CONSOLE_CBMEM_DUMP_TO_UART,172
X86EMU_DEBUG_VBE,149
BOARD_ROMSIZE_KB_64,57
PLATFORM_USES_FSP2_0,58
BUILD_IPXE,249
SUPERIO_SMSC_SIO1036,59
ANY_TOOLCHAIN,204
SOUTHBRIDGE_AMD_AGESA_BOLTON,60
CPU_INTEL_MODEL_65X,61
DEBUG_SPI_FLASH,232
ARCH_VERSTAGE_ARM64,138
MBI_FILE,214
SUPERIO_ITE_IT8721F,98
MAINBOARD_SERIAL_NUMBER,249
PC80_SYSTEM,249
BOOTBLOCK_SOURCE,200
INTEL_EDID,62
SUPERIO_WINBOND_W83627THG,80
CONSOLE_NE2K_DST_IP,73
SOUTHBRIDGE_AMD_SB800,63
SUPERIO_ITE_IT8718F,98
AMD_NB_CIMX,64
NORTHBRIDGE_AMD_AMDK8,65
ARM64_A53_ERRATUM_843419,66
CPU_INTEL_SOCKET_MFCBGA479,67
MMX,249
EC_GOOGLE_CHROMEEC_SPI_WAKEUP_DELAY_US,171
CPU_VIA_C7,68
COREBOOT_TABLE_SIZE,249
SOUTHBRIDGE_DMP_VORTEX86EX,69
COREBOOT_ROMSIZE_KB,187
FRAMEBUFFER_KEEP_VESA_MODE,79
SOC_INTEL_BRASWELL,70
DCACHE_RAM_SIZE,71
DRIVER_PARADE_PS8640,72
DRIVERS_UART_8250MEM,73
DRIVERS_I2C_ADT7463,74
SUBSYSTEM_VENDOR_ID,73
NORTHBRIDGE_AMD_LX,75
CPU_INTEL_MODEL_1067X,76
HAVE_ROMSTAGE_NVRAM_CBFS_SPINLOCK,77
SUPERIO_FINTEK_F71805F,92
SUPERIO_SMSC_SIO1007,78
CONSOLE_USB,188
PCIEXP_PLUGIN_SUPPORT,79
SUPERIO_WINBOND_COMMON_ROMSTAGE,80
TTYS0_BAUD,172
CPU_ALLWINNER_A10,81
HAVE_MP_TABLE,82
SOUTHBRIDGE_VIA_VT8237R,83
ROMCC,84
NUM_IPI_STARTS,85
DRIVERS_I2C_W83795,86
