label,modularity_class
UDC_CI,25
STORAGE_64BIT_LBA,20
TIMER_TEGRA_1US,0
CBFS,1
PC_KEYBOARD_LAYOUT_US,11
PC_KEYBOARD_LAYOUT_DE,11
USB_GEN_HUB,18
TIMER_MCT,0
IPQ806X_SERIAL_CONSOLE,24
PDCURSES,8
GPL,13
ARMADA38X_TIMER_REG,0
STORAGE_AHCI_ONLY_TESTED,20
USB_HUB,18
LITTLE_ENDIAN,7
NVRAM,11
SKIP_CONSOLE_INIT,2
TIMER_MCT_HZ,0
SERIAL_IOBASE,24
USB_DWC2,18
MEMMAP_RAM_ONLY,3
ARCH_MIPS,4
GEODELX_VIDEO_CONSOLE,11
EXPERIMENTAL,5
TIMER_IPQ806X,0
LZ4,6
IPROC_PERIPH_GLB_TIM_REG_BASE,0
ARCH_SPECIFIC_OPTIONS,7
PCI,11
COMPILER_LLVM_CLANG,22
UDC_DWC2,25
MULTIBOOT,11
ARCH_X86,11
ARMADA38X_TIMER_FREQ,0
TIMER_BG4CD,0
USB_OHCI,18
TIMER_ARMADA38X,0
USB_UHCI,11
SERIAL_BAUD_RATE,24
CURSES,8
STORAGE_ATAPI,20
VIDEO_CONSOLE,11
USB_XHCI,18
STACK_SIZE,9
LZMA,10
TINYCURSES,8
COREBOOT_VIDEO_CONSOLE,11
ARCH_ARM64,12
TIMER_NONE,0
SERIAL_CONSOLE,24
TIMER_IMG_PISTACHIO,0
STORAGE_AHCI,20
REMOTEGDB,13
DEVELOPER,18
LIBC,14
8250_SERIAL_CONSOLE,24
TIMER_MTK,0
USB_EHCI,18
CBMEM_CONSOLE,15
BG4CD_SERIAL_CONSOLE,24
STORAGE_ATA,20
USB_EHCI_HOSTPC_ROOT_HUB_TT,18
BASE_ADDRESS,16
USB_MSC,18
PC_KEYBOARD,11
TIMER_RDTSC,11
TIMER_MCT_ADDRESS,0
BIG_ENDIAN,17
USB_HID,18
IPQ806X_TIMER_FREQ,0
TIMER_MTK_HZ,0
TIMER_CYGNUS,0
DEBUG_MALLOC,18
TIMER_MTK_ADDRESS,0
USB,18
RTC_PORT_EXTENDED_VIA,19
STORAGE,20
PL011_SERIAL_CONSOLE,24
SPEAKER,11
ARCH_ARM,21
COMPILER_GCC,22
TIMER_RK,0
SERIAL_ACS_FALLBACK,24
IO_ADDRESS_SPACE,7
TIMER_TEGRA_1US_ADDRESS,0
USB_XHCI_MTK_QUIRK,18
HEAP_SIZE,23
SERIAL_SET_SPEED,24
IPQ806X_TIMER_REG,0
UDC,25
VGA_VIDEO_CONSOLE,11
S5P_SERIAL_CONSOLE,24
USB_PCI,18
TIMER_RK_ADDRESS,0
