# ACTS Test Suite Generation: Tue Jan 17 16:32:27 CST 2017
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 96
# Maximum number of values per parameter: 2
# Number of configurations: 18
GPL,EXPERIMENTAL,DEVELOPER,REMOTEGDB,MEMMAP_RAM_ONLY,COMPILER_GCC,COMPILER_LLVM_CLANG,ARCH_X86,ARCH_ARM,ARCH_ARM64,ARCH_MIPS,MULTIBOOT,HEAP_SIZE,STACK_SIZE,BASE_ADDRESS,LIBC,CURSES,CBFS,LZMA,LZ4,TINYCURSES,PDCURSES,SKIP_CONSOLE_INIT,CBMEM_CONSOLE,SERIAL_CONSOLE,8250_SERIAL_CONSOLE,S5P_SERIAL_CONSOLE,IPQ806X_SERIAL_CONSOLE,BG4CD_SERIAL_CONSOLE,PL011_SERIAL_CONSOLE,SERIAL_IOBASE,SERIAL_SET_SPEED,SERIAL_BAUD_RATE,SERIAL_ACS_FALLBACK,VIDEO_CONSOLE,VGA_VIDEO_CONSOLE,GEODELX_VIDEO_CONSOLE,COREBOOT_VIDEO_CONSOLE,PC_KEYBOARD,PC_KEYBOARD_LAYOUT_US,PC_KEYBOARD_LAYOUT_DE,PCI,NVRAM,RTC_PORT_EXTENDED_VIA,SPEAKER,STORAGE,STORAGE_64BIT_LBA,STORAGE_ATA,STORAGE_ATAPI,STORAGE_AHCI,STORAGE_AHCI_ONLY_TESTED,TIMER_RDTSC,TIMER_MCT_HZ,TIMER_MCT_ADDRESS,TIMER_RK_ADDRESS,TIMER_TEGRA_1US_ADDRESS,IPQ806X_TIMER_FREQ,IPQ806X_TIMER_REG,ARMADA38X_TIMER_FREQ,ARMADA38X_TIMER_REG,IPROC_PERIPH_GLB_TIM_REG_BASE,TIMER_MTK_HZ,TIMER_MTK_ADDRESS,USB,USB_UHCI,USB_OHCI,USB_EHCI,USB_XHCI,USB_XHCI_MTK_QUIRK,USB_DWC2,USB_HID,USB_HUB,USB_EHCI_HOSTPC_ROOT_HUB_TT,USB_MSC,USB_GEN_HUB,USB_PCI,UDC,UDC_CI,UDC_DWC2,TIMER_NONE,TIMER_MCT,TIMER_TEGRA_1US,TIMER_IPQ806X,TIMER_ARMADA38X,TIMER_RK,TIMER_BG4CD,TIMER_CYGNUS,TIMER_IMG_PISTACHIO,TIMER_MTK,DEBUG_MALLOC,BIG_ENDIAN,LITTLE_ENDIAN,IO_ADDRESS_SPACE,ARCH_SPECIFIC_OPTIONS,auxVar0,auxVar1
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,131072,16384,1048576,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-123,FALSE,-123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,131072,16384,1048576,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1016,TRUE,115200,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,131072,16384,1048576,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1016,FALSE,-123,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,131072,16384,1048576,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-123,FALSE,-123,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,131072,16384,1048576,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1016,TRUE,115200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,131072,16384,1048576,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-123,FALSE,-123,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,131072,16384,1048576,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-123,FALSE,-123,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,131072,16384,1048576,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1016,TRUE,115200,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,131072,16384,1048576,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1016,TRUE,115200,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,131072,16384,1048576,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-123,FALSE,-123,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
